# SYNTHETIC — generated by tools/mock_observe.py, not real observations
# plan=night_2026-09-20_visnjan.json seed=1 completion=0.6 seeing=2.5 fail_rate=0.03
ra_deg,dec_deg,filter,fwhm_arcsec,exptime_s,tile_hint,mock
325.000925,28.409841,G,2.48,30,33_130,1
325.001108,28.410148,R,1.85,30,33_130,1
327.501772,28.411281,G,1.8,30,33_131,1
332.113344,29.877893,G,2.18,30,34_131,1
332.112871,29.877879,R,3.05,30,34_131,1
329.577656,29.877573,G,2.71,30,34_130,1
329.578134,29.878107,R,2.01,30,34_130,1
327.042681,29.87807,G,2.81,30,34_129,1
327.042204,29.878168,R,2.8,30,34_129,1
324.505998,29.879022,G,3.8,30,34_128,1
324.507669,29.878516,R,2.37,30,34_128,1
321.970341,29.876615,G,2.9,30,34_127,1
321.97141,29.879047,R,3.14,30,34_127,1
319.435368,29.877813,G,2.44,30,34_126,1
319.436911,29.877176,R,2.76,30,34_126,1
315.972313,31.344631,G,2.11,30,35_122,1
315.969531,31.344923,R,2.05,30,35_122,1
318.561023,31.345244,G,2.52,30,35_123,1
318.562452,31.344882,R,2.28,30,35_123,1
321.151449,31.346421,G,2.41,30,35_124,1
321.151532,31.344534,R,1.39,30,35_124,1
323.740799,31.344362,G,2.59,30,35_125,1
323.741108,31.344976,R,2.68,30,35_125,1
326.329167,31.34491,G,1.68,30,35_126,1
326.329982,31.34467,R,3.35,30,35_126,1
328.921544,31.345306,G,3.01,30,35_127,1
328.920304,31.345602,R,1.89,30,35_127,1
331.510465,31.344808,G,2.53,30,35_128,1
331.511362,31.345991,R,3.02,30,35_128,1
334.099381,31.345259,G,2.18,30,35_129,1
334.10053,31.344692,R,2.58,30,35_129,1
336.690665,31.345001,G,2.72,30,35_130,1
336.69044,31.345262,R,2.8,30,35_130,1
338.979126,32.811811,G,3.2,30,36_129,1
338.977611,32.812849,R,2.94,30,36_129,1
336.35051,32.812152,G,2.7,30,36_128,1
336.349687,32.811964,R,1.85,30,36_128,1
331.093765,32.811904,G,2.24,30,36_126,1
331.094348,32.811059,R,2.73,30,36_126,1
328.469809,32.811411,G,2.47,30,36_125,1
328.466128,32.812669,R,2.22,30,36_125,1
325.840678,32.811343,G,3.63,30,36_124,1
325.838736,32.813546,R,2.11,30,36_124,1
323.213859,32.811451,G,2.67,30,36_123,1
320.585724,32.812364,G,3.07,30,36_122,1
320.583638,32.813516,R,1.6,30,36_122,1
317.95524,32.811955,G,2.33,30,36_121,1
317.956756,32.8115,R,2.62,30,36_121,1
315.328049,32.811397,G,2.1,30,36_120,1
315.328468,32.812129,R,2.45,30,36_120,1
312.699358,32.81417,G,2.58,30,36_119,1
312.699847,32.811274,R,1.74,30,36_119,1
311.99884,34.280433,G,2.3,30,37_117,1
311.998928,34.279129,R,3.22,30,37_117,1
314.667739,34.280605,G,2.68,30,37_118,1
314.668322,34.279433,R,2.14,30,37_118,1
317.332814,34.280619,G,1.61,30,37_119,1
317.33181,34.279696,R,2.93,30,37_119,1
320.000381,34.279079,G,3.03,30,37_120,1
319.998676,34.278377,R,3.02,30,37_120,1
322.665722,34.279752,G,2.53,30,37_121,1
322.667077,34.279831,R,2.13,30,37_121,1
325.332549,34.279176,G,2.69,30,37_122,1
327.998159,34.279346,G,2.62,30,37_123,1
328.000723,34.279153,R,2.97,30,37_123,1
330.666588,34.279307,G,2.79,30,37_124,1
330.668437,34.280103,R,1.64,30,37_124,1
333.335185,34.278826,G,2.83,30,37_125,1
333.334518,34.279713,R,2.56,30,37_125,1
336.000036,34.278683,G,3.08,30,37_126,1
335.999859,34.279277,R,3.52,30,37_126,1
338.665285,34.279444,G,2.7,30,37_127,1
338.667919,34.278869,R,2.25,30,37_127,1
341.331959,34.27831,G,2.4,30,37_128,1
